"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias"
"221063","SEBASTIÃO LEAL","PI","12/2022","2451"
"221065","SIGEFREDO PACHECO","PI","12/2022","5729"
"221070","SIMÕES","PI","12/2022","7260"
"221080","SIMPLÍCIO MENDES","PI","12/2022","6618"
"221090","SOCORRO DO PIAUÍ","PI","12/2022","2692"
"221093","SUSSUAPARA","PI","12/2022","3185"
"221095","TAMBORIL DO PIAUÍ","PI","12/2022","1830"
"221097","TANQUE DO PIAUÍ","PI","12/2022","1383"
"221100","TERESINA","PI","12/2022","253610"
"221110","UNIÃO","PI","12/2022","26712"
"221120","URUÇUÍ","PI","12/2022","11782"
"221130","VALENÇA DO PIAUÍ","PI","12/2022","8852"
"221135","VÁRZEA BRANCA","PI","12/2022","4036"
"221140","VÁRZEA GRANDE","PI","12/2022","2664"
"221150","VERA MENDES","PI","12/2022","1862"
"221160","VILA NOVA DO PIAUÍ","PI","12/2022","1373"
"221170","WALL FERRAZ","PI","12/2022","2407"
